Species1,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.Wing.Index,Tail.Length,Habitat.Density,Primary.Lifestyle,Min.Latitude,Max.Latitude,RLM,LAT,MinAltitude,Elevational.Range,MaxAltitude,HB,DB,Flightlessness,Order,Habitat,Foraging,MatingSystem,NestPlacement,Territoriality,IslandDwelling,LogNightLights,LogHumanPopulationDensity,Family,IUCN_status,Range_size,Body_mass,Clutch_size,Diet,Migration,IslandEndemic,Adult.survival,Age.at.first.breeding,Maximum.longevity,GenLength,extinction_risk
Abeillia abeillei,13,9.5,1.2,1.7,6.3,47,30.5,15.5,66.3,29.4,2,Aerial,12.78,19.77,L,1,1000,1200,2200,1,2,No,Caprimulgiformes,Forest,AerialScreaning,NonCooperative,ExposedElevated,none,No,1.24336739677942,4.70501552095781,Trochilidae,LC,144610.4,2.7,2,Nectar,Sedentary,No,0.497260271,0.855828091,6.764835079,1.791906224,Lower_risk
Abroscopus albogularis,9,4.9,2.7,2.3,15.3,43.4,5.7,37.3,13.3,38.7,1,Insessorial,14.97,31.56,IP,2,600,600,1200,3,1,No,Passeriformes,Forest,ArborealGleaning,NonCooperative,Cavity,weak,No,1.12643586326295,4.98497554731568,Scotocercidae,LC,1704650.6,4.8,5,Invertebrate,Sedentary,No,0.49676724,0.81566177,6.107698629,1.711266548,Lower_risk
Abroscopus schisticeps,9,4.7,2.6,2.3,16.5,47.1,7.6,39.5,16.1,47.5,1,Insessorial,20.19,31.12,I,2,1525,825,2350,4,1,No,Passeriformes,Forest,ArborealGleaning,NonCooperative,Cavity,weak,No,0.965783570635203,3.9982007016692,Scotocercidae,LC,909217.05,4.7,5,Invertebrate,Sedentary,No,0.471999209,0.780159508,5.957459914,1.607010708,Lower_risk
Aburria aburri,37.1,16.6,9.3,10.2,65.8,337.2,52.5,283.1,15.7,290.4,1,Insessorial,-13.43,11.15,L,1,400,2100,2500,2,2,No,Galliformes,Forest,ArborealGleaning,NonCooperative,ExposedElevated,weak,No,0.960184589404188,3.20680324363393,Cracidae,LC,139314.36,1405.1,2.43589743589743,Fruit,Sedentary,No,0.847575988,2.715930502,20.65698459,7.418901822,Lower_risk
Acanthagenys rufogularis,25.7,11.3,3.7,5,25.1,111.1,25,82.8,23.2,111.4,2,Insessorial,-38.86,-16.14,A,2,0,1000,1000,7,5,No,Passeriformes,Shrub,ArborealGleaning,NonCooperative,ExposedElevated,strong,No,0.692519423793493,1.1314021114911,Meliphagidae,LC,5976565.2,47.8,3,Omnivore,Sedentary,No,0.7179357,1.41109303,13.57064622,3.819754733,Lower_risk
Acanthidops bairdi,16.2,10.8,3.9,5.3,20.9,66,11.3,54.7,17,52.1,1,Insessorial,8.8,10.38,L,1,1500,1600,3100,3,4,No,Passeriformes,Forest,ArborealGleaning,NonCooperative,ExposedElevated,weak,No,1.04224663545632,2.96010509591084,Thraupidae,LC,4743.28,16,4,Invertebrate,PartiallyMigratory,No,0.640897279,1.028734007,8.25154653,2.579062658,Lower_risk
Acanthis flammea,11.4,7.8,4.5,6.5,15.6,75.8,25,50.7,33.1,58.7,1,Generalist,44.1,83.11,NP,4,0,2100,2100,11,3,No,Passeriformes,Plains,ArborealGleaning,NonCooperative,ExposedElevated,weak,No,0.924337803257961,1.85629799036563,Fringillidae,LC,19794267.79,13,7,Seed,PartiallyMigratory,No,0.427991215,1,12.2,2.592005464,Lower_risk
Acanthisitta chloris,12.1,6.3,2.4,2.2,18,46,6.2,38.1,13.9,23.5,1,Insessorial,-47.28,-35.38,Z,3,0,1550,1550,5,3,No,Passeriformes,Forest,BarkGleaning,Cooperative,Cavity,weak,No,0.924337803257961,2.14006616349627,Acanthisittidae,LC,152503.84,6.9,5,Invertebrate,Sedentary,Yes,0.521518354,0.874921555,6.563452551,1.890638142,Lower_risk
Acanthiza apicalis,11,5.9,2.2,2.6,19,51,7.2,43.2,14.2,44.1,2,Insessorial,-36,-16.78,A,2,0,1000,1000,4,2,No,Passeriformes,Woodland,ArborealGleaning,NonCooperative,Cavity,weak,No,0.622332977288478,0.641853886172395,Acanthizidae,LC,4124270.8,7.6,3,Invertebrate,Sedentary,No,0.676743133,1.028145284,16.90136986,3.284418521,Lower_risk
Acanthiza chrysorrhoa,11.7,6.2,2.1,2.5,18,58.3,9.1,49.1,15.6,37.9,2,Terrestrial,-43.64,-18.56,A,2,0,800,800,2,2,No,Passeriformes,Woodland,GroundForaging,Cooperative,Cavity,strong,No,0.779920670985083,1.64865862558738,Acanthizidae,LC,4590956.34,9.3,5,Invertebrate,Sedentary,No,0.648380645,0.989406932,13.10410959,2.786694213,Lower_risk
Acanthiza ewingii,10.7,5.6,1.9,2.5,21.5,52.2,8.3,42.5,16.3,46.4,2,Insessorial,-43.64,-39.44,A,3,0,1000,1000,2,2,No,Passeriformes,Forest,ArborealGleaning,NonCooperative,Cavity,weak,No,0.853235599894925,2.10413415427021,Acanthizidae,LC,68050.51,6.9,4,Invertebrate,Sedentary,No,0.629292883,0.933108524,11.93437065,2.584194359,Lower_risk
Acanthiza inornata,11.3,5.9,2.3,2.7,17.3,47.8,6,41,12.8,36.4,2,Insessorial,-35.19,-29.16,A,3,0,500,500,2,1,No,Passeriformes,Woodland,ArborealGleaning,Cooperative,Cavity,strong,No,1.05525014691589,2.69462718077007,Acanthizidae,LC,137406.16,7,4,Invertebrate,Sedentary,No,0.608774635,0.900217208,11.25164176,2.409270373,Lower_risk
Acanthiza iredalei,9.2,4.8,2,2.3,17.4,48.4,7.2,39.8,15.3,39.3,2,Generalist,-38.86,-24.06,A,3,0,500,500,1,1,No,Passeriformes,Shrub,ForagingGeneralist,Cooperative,Cavity,strong,No,0.668740304976422,1.02961941718116,Acanthizidae,LC,987131.55,6,4,Invertebrate,Sedentary,No,0.64179722,0.944844332,11.46645186,2.652208873,Lower_risk
Acanthiza katherina,11.5,5.8,2.4,2.6,18.1,52.1,9.1,42.7,17.6,41.1,1,Insessorial,-19.07,-15.76,A,1,450,1150,1600,1,1,No,Passeriformes,Forest,ArborealGleaning,Cooperative,Cavity,strong,No,0.651355562432631,0.405465108108164,Acanthizidae,VU,58196.09,7.2,3,Invertebrate,Sedentary,No,0.692981337,1.056866619,15,3.252523734,Higher_risk
Acanthiza lineata,9.9,5,2.1,2.8,17.1,51.5,9.4,40,19.1,37.9,2,Insessorial,-39.24,-23.09,A,3,0,1500,1500,2,1,No,Passeriformes,Forest,ArborealGleaning,Cooperative,Cavity,strong,No,1.02177818086464,2.79116510781272,Acanthizidae,LC,1043817.35,6.9,4,Invertebrate,Sedentary,No,0.649805486,0.96855825,23.5,4.171252748,Lower_risk
Acanthiza murina,11.4,6,2.4,2.9,17.9,57.1,12.7,44,22.5,35,1,Insessorial,-9.63,-3.38,A,1,2500,1200,3700,1,1,No,Passeriformes,Forest,ArborealGleaning,Cooperative,Cavity,strong,No,0.668740304976422,2.9338568698359,Acanthizidae,LC,83142.29,8.4,2,Invertebrate,Sedentary,No,0.702029451,1.089449557,11.68214922,3.271018666,Lower_risk
Acanthiza nana,10,5.2,2.1,2.7,17.2,49.1,8.8,40.8,17.8,36.8,2,Insessorial,-39.14,-15.68,A,2,0,1000,1000,3,2,No,Passeriformes,Shrub,ArborealGleaning,Cooperative,Cavity,strong,No,0.894427190999916,2.24070968927596,Acanthizidae,LC,2021416.13,6.2,4,Invertebrate,Sedentary,No,0.62221836,0.913362235,14.2,2.801969371,Lower_risk
Acanthiza pusilla,11.2,5.3,2.1,2.6,18.7,51.8,7.6,44.1,14.6,43.4,2,Insessorial,-43.64,-20,A,3,0,1200,1200,5,1,No,Passeriformes,Shrub,ArborealGleaning,NonCooperative,Cavity,strong,No,1.01705852500181,2.75366071235426,Acanthizidae,LC,1131818.69,7.6,4,Invertebrate,Sedentary,No,0.8,1,17.64109589,4.669792334,Lower_risk
Acanthiza reguloides,11,6,2.2,2.6,16.7,52,7.3,44.7,14,38.9,2,Insessorial,-39.14,-15.8,A,2,0,1500,1500,3,1,No,Passeriformes,Forest,ForagingGeneralist,Cooperative,Cavity,strong,No,0.91794061753342,2.32238772029023,Acanthizidae,LC,1843422.3,7.7,5,Invertebrate,Sedentary,No,0.63638399,0.953490653,11.63134294,2.650466523,Lower_risk
Acanthiza robustirostris,9.9,5.1,2.3,2.7,19.1,50.8,7.6,42.8,15.2,40.2,2,Insessorial,-30.4,-19.66,A,3,0,500,500,2,1,No,Passeriformes,Woodland,ArborealGleaning,NonCooperative,Cavity,weak,No,0.531829589694499,0,Acanthizidae,LC,2061848.42,6.1,3,Invertebrate,PartiallyMigratory,No,0.663056819,0.984060058,11.55855723,2.864634882,Lower_risk
Acanthiza uropygialis,10.2,5.3,2,2.3,18,51.8,7.9,44.6,15,38.3,2,Insessorial,-38.05,-19.82,A,3,0,500,500,3,1,No,Passeriformes,Woodland,ArborealGleaning,Cooperative,Cavity,strong,No,0.660219580407963,0.955511445027436,Acanthizidae,LC,4788831.67,6.4,4,Invertebrate,Sedentary,No,0.645491518,0.955680776,12.63143483,2.732433321,Lower_risk
Acanthorhynchus superciliosus,23.6,15.5,2.3,2.8,19.9,61.3,9.5,50.1,15.9,54.3,2,Insessorial,-35.14,-28.9,A,3,0,1000,1000,4,2,No,Passeriformes,Shrub,ArborealGleaning,NonCooperative,ExposedElevated,weak,No,0.989846400767953,2.45100509811232,Meliphagidae,LC,182218.54,9.7,2,Nectar,Sedentary,No,0.596210516,1.14493495,9.856740676,2.564395028,Lower_risk
Acanthorhynchus tenuirostris,26.8,18.9,2.3,2.7,18,65.6,14.2,54.6,20.6,57.1,2,Insessorial,-43.64,-15,A,2,0,1200,1200,5,2,No,Passeriformes,Forest,ForagingGeneralist,NonCooperative,ExposedElevated,weak,No,1.09734199677185,3.10458667846607,Meliphagidae,LC,763502.74,10.4,4,Omnivore,Sedentary,No,0.614022031,1.045701812,15.5,3.100284106,Lower_risk
Acanthornis magna,15.2,8.4,2.3,2.9,21.9,56,9.2,46.1,16.6,48,1,Generalist,-43.64,-39.58,A,3,0,1000,1000,2,1,No,Passeriformes,Forest,GroundForaging,NonCooperative,Cavity,strong,No,0.880111736793393,2.2512917986065,Acanthizidae,LC,45032.53,10.2,4,Invertebrate,Sedentary,No,0.57075778,0.981589819,7.728109163,2.220154725,Lower_risk
Accipiter albogularis,27.7,17.8,10.6,14.7,62,235.2,81.8,159.5,33.9,169,1,Insessorial,-11.73,-4.02,A,1,0,1800,1800,2,2,No,Accipitriformes,Forest,AerialSallying,NonCooperative,ExposedElevated,weak,No,0.562341325190349,2.58776403522771,Accipitridae,LC,37461.21,248.8,2.12696335078534,Vertebrates,PartiallyMigratory,Yes,0.766029959,1.793707542,12.87005068,4.556979558,Lower_risk
Accipiter badius,20.6,12.1,8.8,11.6,43,186.7,62.5,127.4,32.9,140.6,2,Insessorial,-29.47,46.39,E,2,0,2000,2000,5,2,No,Accipitriformes,Woodland,AerialSallying,NonCooperative,ExposedElevated,weak,No,1.14520203669938,4.64631212931927,Accipitridae,LC,22374973,131.2,7,Vertebrates,Migratory,No,0.680385118,1.629589515,11.41500201,3.541144678,Lower_risk
Accipiter bicolor,25,13.7,8.6,12.7,58.1,229.6,56.6,174.8,24.6,186.3,2,Generalist,-55.72,23.73,L,2,0,2000,2000,3,2,No,Accipitriformes,Forest,AerialSallying,NonCooperative,ExposedElevated,weak,No,1.05096912500736,3.02042488614436,Accipitridae,LC,14309701.27,287.5,4,Vertebrates,PartiallyMigratory,No,0.760603065,2.055251186,14.1070165,4.850855163,Lower_risk
Accipiter brachyurus,22.5,14,8.9,11.9,61.2,202.2,64.1,138.1,31.7,140.8,1,Insessorial,-6.31,-4.08,A,1,0,1800,1800,1,1,No,Accipitriformes,Forest,AerialSallying,NonCooperative,ExposedElevated,weak,No,0.547722557505166,1.02961941718116,Accipitridae,VU,35580.71,142,2.12696335078534,Vertebrates,PartiallyMigratory,Yes,0.740899409,1.609966198,11.49652641,3.944909493,Higher_risk
Accipiter brevipes,21.1,12.1,8.7,11.1,46.4,217.6,87.8,129.9,40.2,153.5,1,Generalist,31.19,55.86,FP,2,0,1000,1000,6,2,No,Accipitriformes,Forest,AerialSallying,NonCooperative,ExposedElevated,weak,No,1.25237323276083,3.95699637107088,Accipitridae,LC,2936751.8,186.5,5,Vertebrates,Migratory,No,0.661821187,1.616431665,13.33733342,3.887831838,Lower_risk
Accipiter butleri,20,11.9,6.6,12,48.7,166,42.9,123.1,25.8,127,1,Insessorial,7.87,9.26,I,1,0,100,100,1,2,No,Accipitriformes,Forest,AerialSallying,NonCooperative,ExposedElevated,weak,Yes,0.979370361335559,4.38452351487247,Accipitridae,VU,327.84,122,2.12696335078534,Vertebrates,Sedentary,Yes,0.779610575,1.897391726,13.60850688,4.902992063,Higher_risk
Accipiter castanilius,20.5,11.5,8.3,10.9,52.6,163.5,38.9,123.1,24,135.4,1,Insessorial,-10.36,10.12,F,1,0,750,750,1,2,No,Accipitriformes,Forest,AerialSallying,NonCooperative,ExposedElevated,weak,No,0.897900760011848,3.41114771251532,Accipitridae,LC,2096401.63,157.5,2.12696335078534,Vertebrates,PartiallyMigratory,No,0.715207948,1.576501344,11.58359309,3.805240172,Lower_risk
Accipiter cirrocephalus,19.2,10.6,7.7,9.6,60.3,213,81.3,133.7,37.8,155.4,1,Generalist,-43.64,0.04,A,2,0,2500,2500,4,2,No,Accipitriformes,Forest,AerialScreaning,NonCooperative,ExposedElevated,strong,No,0.800195241015144,1.75785791755237,Accipitridae,LC,5488639.45,165.7,6,Vertebrates,PartiallyMigratory,No,0.701404606,1.641654502,12.32554007,3.763725264,Lower_risk
