Species1,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.Wing.Index,Tail.Length,Habitat.Density,Primary.Lifestyle,Min.Latitude,Max.Latitude,RR,ISL,RLM,LAT,Elevational.Range,HB,DB,Nest_Type,Nest_SBS,Flightlessness,Family,Foraging,MatingSystem,NestPlacement,Territoriality,IslandDwelling,LogNightLights,LogHumanPopulationDensity,IUCN_status,Range_size,Body_mass,Order1,Clutch_size,Diet,Habitat_cat,Migration,extinction_risk
Abeillia abeillei,13,9.5,1.2,1.7,6.3,47,30.5,15.5,66.3,29.4,2,Aerial,12.78,19.77,0,0,L,1,1200,1,2,CP,T,No,Trochilidae,AerialScreaning,NonCooperative,ExposedElevated,none,No,1.24336739677942,4.70501552095781,LC,144610.4,2.7,Caprimulgiformes,2,Nectar,Forest,Sedentary,Lower_risk
Abroscopus albogularis,9,4.9,2.7,2.3,15.3,43.4,5.7,37.3,13.3,38.7,1,Insessorial,14.97,31.56,0,0,IP,2,600,3,1,CP,A,No,Scotocercidae,ArborealGleaning,NonCooperative,Cavity,weak,No,1.12643586326295,4.98497554731568,LC,1704650.6,4.8,Passeriformes,5,Invertebrate,Forest,Sedentary,Lower_risk
Aburria aburri,37.1,16.6,9.3,10.2,65.8,337.2,52.5,283.1,15.7,290.4,1,Insessorial,-13.43,11.15,0,0,L,1,2100,2,2,CP,T,No,Cracidae,ArborealGleaning,NonCooperative,ExposedElevated,weak,No,0.960184589404188,3.20680324363393,LC,139314.36,1405.1,Galliformes,2.43589743589743,Fruit,Forest,Sedentary,Lower_risk
Acanthagenys rufogularis,25.7,11.3,3.7,5,25.1,111.1,25,82.8,23.2,111.4,2,Insessorial,-38.86,-16.14,0,0,A,2,1000,7,5,CP,"S,T",No,Meliphagidae,ArborealGleaning,NonCooperative,ExposedElevated,strong,No,0.692519423793493,1.1314021114911,LC,5976565.2,47.8,Passeriformes,3,Omnivore,Shrub,Sedentary,Lower_risk
Acanthidops bairdi,16.2,10.8,3.9,5.3,20.9,66,11.3,54.7,17,52.1,1,Insessorial,8.8,10.38,1,0,L,1,1600,3,4,CP,S,No,Thraupidae,ArborealGleaning,NonCooperative,ExposedElevated,weak,No,1.04224663545632,2.96010509591084,LC,4743.28,16,Passeriformes,4,Invertebrate,Forest,PartiallyMigratory,Lower_risk
Acanthis flammea,11.4,7.8,4.5,6.5,15.6,75.8,25,50.7,33.1,58.7,1,Generalist,44.1,83.11,0,0,NP,4,2100,11,3,CP,T,No,Fringillidae,ArborealGleaning,NonCooperative,ExposedElevated,weak,No,0.924337803257961,1.85629799036563,LC,19794267.79,13,Passeriformes,7,Seed,Plains,PartiallyMigratory,Lower_risk
Acanthisitta chloris,12.1,6.3,2.4,2.2,18,46,6.2,38.1,13.9,23.5,1,Insessorial,-47.28,-35.38,0,1,Z,3,1550,5,3,DM,"G,P,T",No,Acanthisittidae,BarkGleaning,Cooperative,Cavity,weak,No,0.924337803257961,2.14006616349627,LC,152503.84,6.9,Passeriformes,5,Invertebrate,Forest,Sedentary,Lower_risk
Acanthiza apicalis,11,5.9,2.2,2.6,19,51,7.2,43.2,14.2,44.1,2,Insessorial,-36,-16.78,0,0,A,2,1000,4,2,"DM,PN",T,No,Acanthizidae,ArborealGleaning,NonCooperative,Cavity,weak,No,0.622332977288478,0.641853886172395,LC,4124270.8,7.6,Passeriformes,3,Invertebrate,Woodland,Sedentary,Lower_risk
Acanthiza chrysorrhoa,11.7,6.2,2.1,2.5,18,58.3,9.1,49.1,15.6,37.9,2,Terrestrial,-43.64,-18.56,0,0,A,2,800,2,2,DM,"N,S,T",No,Acanthizidae,GroundForaging,Cooperative,Cavity,strong,No,0.779920670985083,1.64865862558738,LC,4590956.34,9.3,Passeriformes,5,Invertebrate,Woodland,Sedentary,Lower_risk
Acanthiza ewingii,10.7,5.6,1.9,2.5,21.5,52.2,8.3,42.5,16.3,46.4,2,Insessorial,-43.64,-39.44,0,1,A,3,1000,2,2,PN,S,No,Acanthizidae,ArborealGleaning,NonCooperative,Cavity,weak,No,0.853235599894925,2.10413415427021,LC,68050.51,6.9,Passeriformes,4,Invertebrate,Forest,Sedentary,Lower_risk
Acanthiza inornata,11.3,5.9,2.3,2.7,17.3,47.8,6,41,12.8,36.4,2,Insessorial,-35.19,-29.16,0,0,A,3,500,2,1,DM,"S,T",No,Acanthizidae,ArborealGleaning,Cooperative,Cavity,strong,No,1.05525014691589,2.69462718077007,LC,137406.16,7,Passeriformes,4,Invertebrate,Woodland,Sedentary,Lower_risk
Acanthiza iredalei,9.2,4.8,2,2.3,17.4,48.4,7.2,39.8,15.3,39.3,2,Generalist,-38.86,-24.06,0,0,A,3,500,1,1,SP,S,No,Acanthizidae,ForagingGeneralist,Cooperative,Cavity,strong,No,0.668740304976422,1.02961941718116,LC,987131.55,6,Passeriformes,4,Invertebrate,Shrub,Sedentary,Lower_risk
Acanthiza katherina,11.5,5.8,2.4,2.6,18.1,52.1,9.1,42.7,17.6,41.1,1,Insessorial,-19.07,-15.76,1,0,A,1,1150,1,1,DM,T,No,Acanthizidae,ArborealGleaning,Cooperative,Cavity,strong,No,0.651355562432631,0.405465108108164,VU,58196.09,7.2,Passeriformes,3,Invertebrate,Forest,Sedentary,Higher_risk
