Species1,extinction_risk,Primary.Lifestyle,RLM,Nest_Type,Nest_SBS,Flightlessness,Order,Foraging,MatingSystem,NestPlacement,Territoriality,IslandDwelling,Family,Diet,Habitat_cat,Migration,IslandEndemic,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.Wing.Index,Tail.Length,Habitat.Density,Min.Latitude,Max.Latitude,LAT,Elevational.Range,HB,DB,LogNightLights,LogHumanPopulationDensity,Range_size,Body_mass,Clutch_size
Abeillia abeillei,Lower_risk,Aerial,L,CP,T,No,Caprimulgiformes,AerialScreaning,NonCooperative,ExposedElevated,none,No,Trochilidae,Nectar,Forest,Sedentary,No,13,9.5,1.2,1.7,6.3,47,30.5,15.5,66.3,29.4,2,12.78,19.77,1,1200,1,2,1.243367397,4.705015521,144610.4,2.7,2
Abroscopus albogularis,Lower_risk,Insessorial,IP,CP,A,No,Passeriformes,ArborealGleaning,NonCooperative,Cavity,weak,No,Scotocercidae,Invertebrate,Forest,Sedentary,No,9,4.9,2.7,2.3,15.3,43.4,5.7,37.3,13.3,38.7,1,14.97,31.56,2,600,3,1,1.126435863,4.984975547,1704650.6,4.8,5
Abroscopus schisticeps,Lower_risk,Insessorial,I,SP,A-R-T,No,Passeriformes,ArborealGleaning,NonCooperative,Cavity,weak,No,Scotocercidae,Invertebrate,Forest,Sedentary,No,9,4.7,2.6,2.3,16.5,47.1,7.6,39.5,16.1,47.5,1,20.19,31.12,2,825,4,1,0.965783571,3.998200702,909217.05,4.7,5
Abroscopus superciliaris,Lower_risk,Insessorial,I,CP,A,No,Passeriformes,ArborealGleaning,NonCooperative,ExposedElevated,weak,No,Scotocercidae,Invertebrate,Forest,Sedentary,No,12.3,7.4,3.1,2.8,16.6,51.2,6.5,44.5,12.7,42.4,1,-8.11,28.81,2,1775.257822,4,1,1.238132049,4.838660029,2493437.47,6.5,5
Aburria aburri,Lower_risk,Insessorial,L,CP,T,No,Galliformes,ArborealGleaning,NonCooperative,ExposedElevated,weak,No,Cracidae,Fruit,Forest,Sedentary,No,37.1,16.6,9.3,10.2,65.8,337.2,52.5,283.1,15.7,290.4,1,-13.43,11.15,1,2100,2,2,0.960184589,3.206803244,139314.36,1405.1,2.435897436
Aburria cujubi,Lower_risk,Insessorial,L,PL,T,No,Galliformes,ArborealGleaning,NonCooperative,ExposedElevated,strong,No,Cracidae,Fruit,Terrestrial,Sedentary,No,43.15735191,25.20221717,12.87348511,17.87211854,64.12455793,333.5379204,87.38918679,246.0282329,27.05304802,226.927972,1.879897778,-16.71773291,4.816914711,1.080682222,923.7208178,2.84948,2.220255556,0.887356066,1.740466175,2677655,1195.82,2.435897436
Aburria cumanensis,Lower_risk,Insessorial,L,PL,T,No,Galliformes,ArborealGleaning,NonCooperative,ExposedElevated,strong,No,Cracidae,Fruit,Terrestrial,Sedentary,No,44.79508956,26.05014098,13.06970956,18.04809395,64.08381242,342.7744778,92.49334746,248.075387,27.78358802,226.4142736,1.9331,-18.92788369,6.659354178,1.098722222,979.7758084,3.180082222,2.292866667,0.809780126,1.504077397,4080787,1239.22,3
Aburria jacutinga,Higher_risk,Insessorial,L,PL,T,No,Galliformes,ArborealGleaning,NonCooperative,ExposedElevated,strong,No,Cracidae,Fruit,Terrestrial,Sedentary,No,44.2449673,25.63020063,12.899892,17.91385572,64.53576659,334.9774187,88.48261524,247.4762579,27.23729202,223.1288913,1.869568889,1.987958867,12.21228173,1.093986667,1128.010769,2.899612515,2.19252963,1.376491748,3.867025639,42300.3,1240.96,2.5
Aburria pipile,Higher_risk,Insessorial,L,PL,T,No,Galliformes,ArborealGleaning,NonCooperative,ExposedElevated,strong,No,Cracidae,Fruit,Terrestrial,Sedentary,No,47.39551689,27.89710819,13.61269311,18.86652689,66.37426061,350.0145387,92.88121222,256.8500497,27.05795389,229.0914585,1.885897778,-5.6679088,3.967401911,1.125531111,774.6601156,2.760166667,2.334027407,1.664174415,2.517696473,360.4,1816.59,2
Acanthagenys rufogularis,Lower_risk,Insessorial,A,CP,S-T,No,Passeriformes,ArborealGleaning,NonCooperative,ExposedElevated,strong,No,Meliphagidae,Omnivore,Shrub,Sedentary,No,25.7,11.3,3.7,5,25.1,111.1,25,82.8,23.2,111.4,2,-38.86,-16.14,2,1000,7,5,0.692519424,1.131402111,5976565.2,47.8,3
