"scientificName_final","decimalLatitude","decimalLongitude","Order","Annualroadkillrate_corrected","adult_mass_g","max_longevity_d","age_first_reproduction_d","litter_size_n","litters_per_year_n","dispersal_km","density_n_km2","home_range_km2","dphy_invertebrate","dphy_plant","det_vend","det_vect","det_scav","det_diet_breadth_n","altitude_breadth_m","EQ","habitat_Forest","habitat_Savanna","habitat_Shrubland","habitat_Grassland","habitat_Wetlands","habitat_Desert","habitat_Artificial_Terrestrial","n_habitats","human_footprint","log_roadkill","roadkill_category"
"Acomys spinosissimus",-22.133333,29.2,"Rodentia",0.010138889,27.01,1181.41647556667,177.470811766667,2.71,3.35219116666667,1.108,331.042,0.00662286666666663,0,70,0,0,0,2,1818.0281,0.462726720897711,"0","1","0","0","0","0","0",2,5.75422382354736,-4.59137685289685,"Low"
"Aepyceros melampus",-14.5,26.167,"Artiodactyla",0.105109489,52500,9344,730,1,1,9.363,9.937,1.97,0,100,0,0,0,1,1700,0.994899420002371,"0","1","1","1","0","0","0",3,13.4553213119507,-2.25275271973228,"Medium"
"Aepyceros melampus",-22.133333,29.2,"Artiodactyla",0.010138889,52500,9344,730,1,1,9.363,9.937,1.97,0,100,0,0,0,1,1700,0.994899420002371,"0","1","1","1","0","0","0",3,5.75422382354736,-4.59137685289685,"Low"
"Aepyceros melampus",-14.5,26.167,"Artiodactyla",0.293065693,52500,9344,730,1,1,9.363,9.937,1.97,0,100,0,0,0,1,1700,0.994899420002371,"0","1","1","1","0","0","0",3,13.4553213119507,-1.22735848690484,"High"
"Aethomys chrysophilus",-22.133333,29.2,"Rodentia",0.101388889,79.7,273.75,138,3.345,3.730046,0.264,476.744,0.00309539999999999,0,100,0,0,0,3,1963.26666666667,0.554308695697817,"1","1","0","0","0","0","1",3,5.75422382354736,-2.28879176976582,"Medium"
"Alcelaphus buselaphus",-14.5,26.167,"Artiodactyla",7.29927e-05,159938.92,5828.847,927.7,0.997,1.077,17.277,0.967,3.57,0,100,0,0,0,1,3092.23253333333,0.801208519964209,"1","1","1","1","0","0","1",5,13.4553213119507,-9.52515112181622,"Low"
"Alcelaphus buselaphus",-14.5,26.167,"Artiodactyla",2.79972e-05,159938.92,5828.847,927.7,0.997,1.077,17.277,0.967,3.57,0,100,0,0,0,1,3092.23253333333,0.801208519964209,"1","1","1","1","0","0","1",5,13.4553213119507,-10.4834060527894,"Low"
"Alces alces",46.8131,-71.2075,"Cetartiodactyla",0.004109589,359750,9855,1046.515,1.28,1.117,26.984,0.648,71.75,0,100,0,0,0,1,2500,0.670935876135013,"1","0","0","0","1","0","1",3,50,-5.49443225547433,"Low"
"Alces alces",51.246452,22.568445,"Artiodactyla",1.9991e-06,359750,9855,1046.515,1.28,1.117,26.984,0.648,71.75,0,100,0,0,0,1,2500,0.670935876135013,"1","0","0","0","1","0","1",3,38.281379699707,-13.1228134786847,"Low"
"Alces alces",46.8131,-71.2075,"Cetartiodactyla",0.000476474,359750,9855,1046.515,1.28,1.117,26.984,0.648,71.75,0,100,0,0,0,1,2500,0.670935876135013,"1","0","0","0","1","0","1",3,50,-7.64909740089177,"Low"
