decimalLatitude,decimalLongitude,Order,adult_mass_g,max_longevity_d,age_first_reproduction_d,litter_size_n,litters_per_year_n,dispersal_km,density_n_km2,home_range_km2,dphy_invertebrate,dphy_plant,det_vend,det_vect,det_scav,det_diet_breadth_n,altitude_breadth_m,EQ,habitat_Forest,habitat_Savanna,habitat_Shrubland,habitat_Grassland,habitat_Wetlands,habitat_Desert,habitat_Artificial_Terrestrial,n_habitats,human_footprint,roadkill_category
-22.133333,29.2,Rodentia,27.01,1181.41647556667,177.470811766667,2.71,3.35219116666667,1.108,331.042,0.0066228666666666,0.0,70.0,0.0,0.0,0.0,2.0,1818.0281,0.462726720897711,0,1,0,0,0,0,0,2,5.75422382354736,Low
-14.5,26.167,Artiodactyla,52500.0,9344.0,730.0,1.0,1.0,9.363,9.937,1.97,0.0,100.0,0.0,0.0,0.0,1.0,1700.0,0.994899420002371,0,1,1,1,0,0,0,3,13.4553213119507,Medium
-22.133333,29.2,Artiodactyla,52500.0,9344.0,730.0,1.0,1.0,9.363,9.937,1.97,0.0,100.0,0.0,0.0,0.0,1.0,1700.0,0.994899420002371,0,1,1,1,0,0,0,3,5.75422382354736,Low
-14.5,26.167,Artiodactyla,52500.0,9344.0,730.0,1.0,1.0,9.363,9.937,1.97,0.0,100.0,0.0,0.0,0.0,1.0,1700.0,0.994899420002371,0,1,1,1,0,0,0,3,13.4553213119507,High
-22.133333,29.2,Rodentia,79.7,273.75,138.0,3.345,3.730046,0.264,476.744,0.0030953999999999,0.0,100.0,0.0,0.0,0.0,3.0,1963.26666666667,0.554308695697817,1,1,0,0,0,0,1,3,5.75422382354736,Medium
-14.5,26.167,Artiodactyla,159938.92,5828.847,927.7,0.997,1.077,17.277,0.967,3.57,0.0,100.0,0.0,0.0,0.0,1.0,3092.23253333333,0.801208519964209,1,1,1,1,0,0,1,5,13.4553213119507,Low
-14.5,26.167,Artiodactyla,159938.92,5828.847,927.7,0.997,1.077,17.277,0.967,3.57,0.0,100.0,0.0,0.0,0.0,1.0,3092.23253333333,0.801208519964209,1,1,1,1,0,0,1,5,13.4553213119507,Low
46.8131,-71.2075,Cetartiodactyla,359750.0,9855.0,1046.515,1.28,1.117,26.984,0.648,71.75,0.0,100.0,0.0,0.0,0.0,1.0,2500.0,0.670935876135013,1,0,0,0,1,0,1,3,50.0,Low
51.246452,22.568445,Artiodactyla,359750.0,9855.0,1046.515,1.28,1.117,26.984,0.648,71.75,0.0,100.0,0.0,0.0,0.0,1.0,2500.0,0.670935876135013,1,0,0,0,1,0,1,3,38.281379699707,Low
46.8131,-71.2075,Cetartiodactyla,359750.0,9855.0,1046.515,1.28,1.117,26.984,0.648,71.75,0.0,100.0,0.0,0.0,0.0,1.0,2500.0,0.670935876135013,1,0,0,0,1,0,1,3,50.0,Low
64.2823,-135.0,Cetartiodactyla,359750.0,9855.0,1046.515,1.28,1.117,26.984,0.648,71.75,0.0,100.0,0.0,0.0,0.0,1.0,2500.0,0.670935876135013,1,0,0,0,1,0,1,3,0.0002798518980853,Low
60.1282,18.6435,Artiodactyla,359750.0,9855.0,1046.515,1.28,1.117,26.984,0.648,71.75,0.0,100.0,0.0,0.0,0.0,1.0,2500.0,0.670935876135013,1,0,0,0,1,0,1,3,18.1269921128872,Low
44.967243,-103.771556,Cetartiodactyla,359750.0,9855.0,1046.515,1.28,1.117,26.984,0.648,71.75,0.0,100.0,0.0,0.0,0.0,1.0,2500.0,0.670935876135013,1,0,0,0,1,0,1,3,11.0231027603149,Low
55.1694,23.8813,Artiodactyla,359750.0,9855.0,1046.515,1.28,1.117,26.984,0.648,71.75,0.0,100.0,0.0,0.0,0.0,1.0,2500.0,0.670935876135013,1,0,0,0,1,0,1,3,19.7183208465576,Low
55.1694,23.8813,Artiodactyla,359750.0,9855.0,1046.515,1.28,1.117,26.984,0.648,71.75,0.0,100.0,0.0,0.0,0.0,1.0,2500.0,0.670935876135013,1,0,0,0,1,0,1,3,19.7183208465576,Low
55.1694,23.8813,Artiodactyla,359750.0,9855.0,1046.515,1.28,1.117,26.984,0.648,71.75,0.0,100.0,0.0,0.0,0.0,1.0,2500.0,0.670935876135013,1,0,0,0,1,0,1,3,19.7183208465576,Low
55.1694,23.8813,Artiodactyla,359750.0,9855.0,1046.515,1.28,1.117,26.984,0.648,71.75,0.0,100.0,0.0,0.0,0.0,1.0,2500.0,0.670935876135013,1,0,0,0,1,0,1,3,19.7183208465576,Low
64.2823,-135.0,Cetartiodactyla,359750.0,9855.0,1046.515,1.28,1.117,26.984,0.648,71.75,0.0,100.0,0.0,0.0,0.0,1.0,2500.0,0.670935876135013,1,0,0,0,1,0,1,3,0.0002798518980853,Low
54.687157,25.279652,Artiodactyla,359750.0,9855.0,1046.515,1.28,1.117,26.984,0.648,71.75,0.0,100.0,0.0,0.0,0.0,1.0,2500.0,0.670935876135013,1,0,0,0,1,0,1,3,50.0,Low
46.8131,-71.2075,Cetartiodactyla,359750.0,9855.0,1046.515,1.28,1.117,26.984,0.648,71.75,0.0,100.0,0.0,0.0,0.0,1.0,2500.0,0.670935876135013,1,0,0,0,1,0,1,3,50.0,Low
64.2823,-135.0,Cetartiodactyla,359750.0,9855.0,1046.515,1.28,1.117,26.984,0.648,71.75,0.0,100.0,0.0,0.0,0.0,1.0,2500.0,0.670935876135013,1,0,0,0,1,0,1,3,0.0002798518980853,Low
64.2823,-135.0,Cetartiodactyla,359750.0,9855.0,1046.515,1.28,1.117,26.984,0.648,71.75,0.0,100.0,0.0,0.0,0.0,1.0,2500.0,0.670935876135013,1,0,0,0,1,0,1,3,0.0002798518980853,Low
64.2823,-135.0,Cetartiodactyla,359750.0,9855.0,1046.515,1.28,1.117,26.984,0.648,71.75,0.0,100.0,0.0,0.0,0.0,1.0,2500.0,0.670935876135013,1,0,0,0,1,0,1,3,0.0002798518980853,Low
46.8131,-71.2075,Cetartiodactyla,359750.0,9855.0,1046.515,1.28,1.117,26.984,0.648,71.75,0.0,100.0,0.0,0.0,0.0,1.0,2500.0,0.670935876135013,1,0,0,0,1,0,1,3,50.0,Low
