Species_name,GBIF_name,Order,Family,IUCN_status,Agriculture,Hunting,Invasive_species,Climate_change,Beak_length_culmen,Beak_length_nares,Beak_width,Beak_depth,Tarsus_length,Wing_length,Kipps_distance,Secondary1,Hand_wing_index,Tail_length,Minimum_latitude,Maximum_latitude,Primary_lifestyle,Island_restricted_breeding,Latitudinal_range,Elevational_range,Habitat_breadth,Diet_breadth,Realm,Minimum_elevation,Maximum_elevation,Adult_survival_annual,Age_at_first_breeding,Maximum_longevity,Generation_length,Range_size,Body_mass,Clutch_size,Diet,Habitat,Migration,Extinction_risk
Struthio camelus,Struthio camelus,STRUTHIONIFORMES,Struthionidae,LC,0,0,0,0,90.5,51.2,47.3,23.4,481.2,579,0.3,578.7,0.1,309.2,-30.91,22.47,Terrestrial,0,2,3000,4,4,F,0,3000,0.868427647,3.646049669,50,14.58442945,8595319.06,111000,11,Omnivore,Savanna,Sedentary,Lower_risk
Struthio molybdophanes,Struthio molybdophanes,STRUTHIONIFORMES,Struthionidae,VU,1,1,0,0,89.2,52,46.7,23.6,466.7,510.5,0.3,510.2,0.1,291.7,-3.61,11.62,Terrestrial,0,2,3000,3,4,F,0,3000,0.868427647,3.5,50,14.47284387,1079016.7,111000,11,Omnivore,Plains,Sedentary,Higher_risk
Rhea americana,Rhea americana,STRUTHIONIFORMES,Rheidae,NT,1,1,0,0,86.5,35.6,27.2,17.2,308,604.5,0.3,604.2,0.1,62,-41.17,-4.65,Terrestrial,0,2,1200,5,6,L,0,1200,0.308668286,2.068374004,50,11.35707089,6537549.66,23000,30,Omnivore,Savanna,Sedentary,Higher_risk
Rhea pennata,Rhea pennata,STRUTHIONIFORMES,Rheidae,LC,1,1,0,0,68.6,33.1,24.7,16.3,292.5,629.5,0.4,629.1,0.1,56.8,-53.54,-35.63,Terrestrial,0,2,4500,5,2,L,0,4500,0.326367207,3,29.50798368,9.25522508,660510.26,23900,20,Omnivore,Plains,Sedentary,Lower_risk
Nothocercus julius,Nothocercus julius,STRUTHIONIFORMES,Tinamidae,LC,0,0,0,0,33,10.1,4.6,6.2,58.8,191.2,31.9,159.3,16.7,51.6,-12.54,7.98,Terrestrial,0,1,1700,1,3,L,1700,3400,0.838904204,2.116066953,16.34917762,6.16450584,139147.96,693,4.87096774193549,Omnivore,Forest,Sedentary,Lower_risk
Nothocercus bonapartei,Nothocercus bonapartei,STRUTHIONIFORMES,Tinamidae,LC,0,1,0,0,36.5,10.2,4.8,5.6,68.8,212,31.2,180.8,14.7,60,-5.36,11.04,Terrestrial,0,1,1000,2,3,L,1500,2500,0.744175911,1.857065594,14.84544285,4.538711435,137927.21,763,4,Omnivore,Forest,Sedentary,Lower_risk
Nothocercus nigrocapillus,Nothocercus nigrocapillus,STRUTHIONIFORMES,Tinamidae,LC,1,0,0,0,35.3,9.1,4.6,5.8,63.5,187,27.5,159.5,14.8,56,-18.19,-5.26,Terrestrial,0,1,2000,2,3,L,1300,3300,0.758453468,1.888184015,16.83490155,4.833985142,206296.78,540,4.87096774193549,Omnivore,Forest,Sedentary,Lower_risk
Tinamus tao,Tinamus tao,STRUTHIONIFORMES,Tinamidae,VU,1,1,0,0,45.5,13.6,6.5,6.8,79.7,278.7,47.3,229.2,17.1,125.6,-17.32,11.55,Terrestrial,0,1,1850,2,3,L,50,1900,0.79654557,2.233546947,18.16150727,5.78539734,3810389.02,1600.1,9,Omnivore,Forest,Sedentary,Higher_risk
Tinamus solitarius,Tinamus solitarius,STRUTHIONIFORMES,Tinamidae,NT,1,1,0,0,37.9,11.4,5.8,6,73.1,261.5,35.1,223.7,13.7,156.2,-29.81,-7.93,Terrestrial,0,2,1200,1,5,L,0,1200,0.62381028,1.532464924,15,4.142346156,1069608.94,1386.4,7,Omnivore,Forest,Sedentary,Higher_risk
Tinamus osgoodi,Tinamus osgoodi,STRUTHIONIFORMES,Tinamidae,VU,1,1,0,0,45.6,12.9,7.1,7.9,70.6,232,40.5,191.6,17.4,69.7,-13.91,7.15,Terrestrial,0,1,1500,1,3,L,600,2100,0.874461001,2.805074826,21.11064532,8.159437279,28701.74,1285,2,Omnivore,Forest,Sedentary,Higher_risk
Tinamus major,Tinamus major,STRUTHIONIFORMES,Tinamidae,LC,1,1,0,0,38.5,11.4,5.2,5.9,64.4,241,51.3,193.1,20.9,83.2,-18.07,18.96,Terrestrial,0,1,1500,1,4,L,0,1500,0.805856763,2.211198113,17.07751515,5.839391169,7672718.39,1026.2,6,Omnivore,Forest,Sedentary,Lower_risk
Tinamus guttatus,Tinamus guttatus,STRUTHIONIFORMES,Tinamidae,NT,1,1,0,0,33.1,10.8,5,5.3,57.6,195.4,50.9,142.1,26.4,75.6,-15.03,4.88,Terrestrial,0,1,500,1,2,L,0,500,0.709420525,1.942761613,16.08901513,4.684172075,3971186.8,686.2,6,Omnivore,Forest,Sedentary,Higher_risk
Crypturellus berlepschi,Crypturellus berlepschi,STRUTHIONIFORMES,Tinamidae,LC,0,0,0,0,27.9,10.5,5.3,6.5,53.4,164.6,38.1,126.5,23.3,54.2,-0.44,7.33,Terrestrial,0,1,500,1,3,L,0,500,0.826197831,2.010196321,15.66964196,5.856328867,59534.34,516.8,4.87096774193549,Omnivore,Forest,Sedentary,Lower_risk
Crypturellus cinereus,Crypturellus cinereus,STRUTHIONIFORMES,Tinamidae,LC,0,0,0,0,31,10.4,5.2,5.4,49.8,162.4,30.1,132,18.7,55.9,-16.68,7.94,Terrestrial,0,1,900,5,3,L,0,900,0.809279655,2.399819702,17.81259548,6.164260205,5924779.18,506.6,2,Omnivore,Forest,Sedentary,Lower_risk
Crypturellus ptaritepui,Crypturellus ptaritepui,STRUTHIONIFORMES,Tinamidae,LC,1,1,0,0,29.6,9,4.6,5.8,51.2,136,10,126,7.4,54.2,5.7,6.02,Terrestrial,0,1,450,1,3,L,1350,1800,0.814904938,1.92380231,15.10223528,5.480975945,403.76,443.4,4.87096774193549,Omnivore,Forest,Sedentary,Lower_risk
Crypturellus soui,Crypturellus soui,STRUTHIONIFORMES,Tinamidae,LC,0,0,0,0,24.2,8,4.2,3.9,36.4,127.5,32.9,96.4,25.4,47.9,-22.54,19.13,Terrestrial,0,1,1500,4,3,L,0,1500,0.794792775,1.899519281,13.95755572,5.081209652,11151222.76,216.2,2,Omnivore,Forest,Sedentary,Lower_risk
Crypturellus obsoletus,Crypturellus obsoletus,STRUTHIONIFORMES,Tinamidae,LC,1,1,0,0,30.9,11.1,5.4,4.5,45.9,160,35.8,124.4,22.4,54.2,-33.84,11.35,Terrestrial,0,2,2600,2,2,L,200,2800,0.76671403,1.874309998,15.19449899,4.812828802,1841826.27,443.4,4,Omnivore,Forest,Sedentary,Lower_risk
Crypturellus undulatus,Crypturellus undulatus,STRUTHIONIFORMES,Tinamidae,LC,0,0,0,0,34,12.4,6,5.8,48,172.5,35,137.8,20.3,56.6,-27.8,8.4,Terrestrial,0,2,900,5,3,L,0,900,0.735025566,2.019948816,16.21830113,4.771455533,8533511.59,564.4,5,Omnivore,Forest,Sedentary,Lower_risk
Crypturellus strigulosus,Crypturellus strigulosus,STRUTHIONIFORMES,Tinamidae,LC,0,0,0,0,32.3,11.6,5.3,5.3,46.4,160.9,30.1,130.7,18.7,47.9,-15.65,-0.54,Terrestrial,0,1,500,1,3,L,0,500,0.781206236,1.93707895,14.97060929,5.051806531,2589981.45,430.6,4,Omnivore,Forest,Sedentary,Lower_risk
