original_name,standardized_name,Residential_development,Agriculture,Energy,Transportation,Biological_use_hunting,Human_intrusions,Natural_modifications,Invasive_species,Pollution,Geological_events,Climate_change,Number_of_threats,Habitat_density,Primary_lifestyle,Beak_length_culmen,Beak_length_nares,Beak_width,Beak_depth,Tarsus_length,Wing_length,Kipps_distance,Secondary1_length,Hand_wing_index,Tail_length,Minimum_latitude,Maximum_latitude,Island_restricted_breeding,Realm,Latitudinal_range,Minimum_elevation,Elevational_range,Maximum_elevation,Habitat_breadth,Diet_breadth,Flightlessness,Adult_survival_annual,Age_at_first_breeding,Maximum_longevity,Generation_length,Foraging_strategy,Mating_system,Nest_placement,Territoriality,Island_dwelling,Night_lights,Human_population_density,Order,Family,Range_size,Body_mass,IUCN_status,Clutch_size,Diet,Habitat,Migration,Extinction_risk
Struthio camelus,Struthio camelus,0,0,0,0,0,0,0,0,0,0,0,0,3,Terrestrial,90.5,51.2,47.3,23.4,481.2,579,0.3,578.7,0.1,309.2,-30.91,22.47,0,F,2,0,3000,3000,4,4,Yes,0.868427647,3.646049669,50,14.58442945,GroundForaging,NonCooperative,ExposedGround,none,No,0.752120618617279,2.84490938381941,STRUTHIONIFORMES,Struthionidae,8595319.06,111000,LC,11,Omnivore,Savanna,Sedentary,Lower_risk
Rhea americana,Rhea americana,0,1,0,0,1,0,0,0,0,0,0,2,3,Terrestrial,86.5,35.6,27.2,17.2,308,604.5,0.3,604.2,0.1,62,-41.17,-4.65,0,L,2,0,1200,1200,5,6,Yes,0.308668286,2.068374004,50,11.35707089,GroundForaging,Cooperative,ExposedGround,none,No,1.16782625835292,3.40452517175483,STRUTHIONIFORMES,Rheidae,6537549.66,23000,NT,30,Omnivore,Savanna,Sedentary,Lower_risk
Nothocercus bonapartei,Nothocercus bonapartei,0,0,0,0,1,0,0,0,0,0,0,1,1,Terrestrial,36.5,10.2,4.8,5.6,68.8,212,31.2,180.8,14.7,60,-5.36,11.04,0,L,1,1500,1000,2500,2,3,No,0.744175911,1.857065594,14.84544285,4.538711435,GroundForaging,NonCooperative,ExposedGround,weak,No,1.39435368881872,4.99788772127375,STRUTHIONIFORMES,Tinamidae,137927.21,763,LC,4,Omnivore,Forest,Sedentary,Lower_risk
Tinamus tao,Tinamus tao,0,1,0,0,1,0,0,0,0,0,0,2,1,Terrestrial,45.5,13.6,6.5,6.8,79.7,278.7,47.3,229.2,17.1,125.6,-17.32,11.55,0,L,1,50,1850,1900,2,3,No,0.79654557,2.233546947,18.16150727,5.78539734,GroundForaging,NonCooperative,ExposedGround,strong,No,0.897900760011848,2.05412373369555,STRUTHIONIFORMES,Tinamidae,3810389.02,1600.1,VU,9,Omnivore,Forest,Sedentary,Higher_risk
Tinamus solitarius,Tinamus solitarius,1,1,0,1,1,0,0,0,0,0,0,4,1,Terrestrial,37.9,11.4,5.8,6,73.1,261.5,35.1,223.7,13.7,156.2,-29.81,-7.93,0,L,2,0,1200,1200,1,5,No,0.62381028,1.532464924,15,4.142346156,GroundForaging,NonCooperative,ExposedGround,strong,No,1.45970119382915,4.51415078760092,STRUTHIONIFORMES,Tinamidae,1069608.94,1386.4,NT,7,Omnivore,Forest,Sedentary,Lower_risk
Tinamus osgoodi,Tinamus osgoodi,0,1,1,0,1,0,0,0,0,0,0,3,1,Terrestrial,45.6,12.9,7.1,7.9,70.6,232,40.5,191.6,17.4,69.7,-13.91,7.15,0,L,1,600,1500,2100,1,3,No,0.874461001,2.805074826,21.11064532,8.159437279,GroundForaging,NonCooperative,ExposedGround,weak,No,0.668740304976422,1.3609765531356,STRUTHIONIFORMES,Tinamidae,28701.74,1285,VU,2,Omnivore,Forest,Sedentary,Higher_risk
Tinamus major,Tinamus major,0,1,1,1,1,0,0,0,0,0,0,4,1,Terrestrial,38.5,11.4,5.2,5.9,64.4,241,51.3,193.1,20.9,83.2,-18.07,18.96,0,L,1,0,1500,1500,1,4,No,0.805856763,2.211198113,17.07751515,5.839391169,GroundForaging,NonCooperative,ExposedGround,weak,No,0.90808651852317,2.41591377830105,STRUTHIONIFORMES,Tinamidae,7672718.39,1026.2,LC,6,Omnivore,Forest,Sedentary,Lower_risk
Tinamus guttatus,Tinamus guttatus,0,1,0,0,1,0,0,0,0,0,0,2,1,Terrestrial,33.1,10.8,5,5.3,57.6,195.4,50.9,142.1,26.4,75.6,-15.03,4.88,0,L,1,0,500,500,1,2,No,0.709420525,1.942761613,16.08901513,4.684172075,GroundForaging,NonCooperative,ExposedGround,weak,No,0.757928931136556,1.43508452528932,STRUTHIONIFORMES,Tinamidae,3971186.8,686.2,NT,6,Omnivore,Forest,Sedentary,Lower_risk
Crypturellus cinereus,Crypturellus cinereus,0,0,0,0,0,0,0,0,0,0,0,0,1,Terrestrial,31,10.4,5.2,5.4,49.8,162.4,30.1,132,18.7,55.9,-16.68,7.94,0,L,1,0,900,900,5,3,No,0.809279655,2.399819702,17.81259548,6.164260205,GroundForaging,NonCooperative,ExposedGround,strong,No,0.752120618617279,1.45861502269952,STRUTHIONIFORMES,Tinamidae,5924779.18,506.6,LC,2,Omnivore,Forest,Sedentary,Lower_risk
Crypturellus soui,Crypturellus soui,0,0,0,0,0,0,0,0,0,0,0,0,1,Terrestrial,24.2,8,4.2,3.9,36.4,127.5,32.9,96.4,25.4,47.9,-22.54,19.13,0,L,1,0,1500,1500,4,3,No,0.794792775,1.899519281,13.95755572,5.081209652,GroundForaging,NonCooperative,ExposedGround,strong,No,0.979370361335559,2.70136121295141,STRUTHIONIFORMES,Tinamidae,11151222.76,216.2,LC,2,Omnivore,Forest,Sedentary,Lower_risk
