original_name,standardized_name,Agriculture,Energy,Transportation,Biological_use_hunting,Invasive_species,Climate_change,Number_of_threats,Primary_lifestyle,Beak_length_culmen,Beak_depth,Tarsus_length,Wing_length,Hand_wing_index,Tail_length,Minimum_latitude,Maximum_latitude,Island_restricted_breeding,Realm,Latitudinal_range,Minimum_elevation,Elevational_range,Maximum_elevation,Habitat_breadth,Diet_breadth,Adult_survival_annual,Generation_length,Foraging_strategy,Nest_placement,Territoriality,Night_lights,Human_population_density,Order,Family,Range_size,Body_mass,IUCN_status,Clutch_size,Diet,Habitat,Migration,Extinction_risk
Struthio camelus,Struthio camelus,0,0,0,0,0,0,0,Terrestrial,90.5,23.4,481.2,579,0.1,309.2,-30.91,22.47,0,F,2,0,3000,3000,4,4,0.868427647,14.58442945,GroundForaging,ExposedGround,none,2.12149413,17.2,STRUTHIONIFORMES,Struthionidae,8595319.06,111000,LC,11,Omnivore,Savanna,Sedentary,Lower_risk
Rhea americana,Rhea americana,1,0,0,1,0,0,2,Terrestrial,86.5,17.2,308,604.5,0.1,62,-41.17,-4.65,0,L,2,0,1200,1200,5,6,0.308668286,11.35707089,GroundForaging,ExposedGround,none,3.214996466,30.1,STRUTHIONIFORMES,Rheidae,6537549.66,23000,NT,30,Omnivore,Savanna,Sedentary,Lower_risk
Nothocercus bonapartei,Nothocercus bonapartei,0,0,0,1,0,0,1,Terrestrial,36.5,5.6,68.8,212,14.7,60,-5.36,11.04,0,L,1,1500,1000,2500,2,3,0.744175911,4.538711435,GroundForaging,ExposedGround,weak,4.032367566,148.1,STRUTHIONIFORMES,Tinamidae,137927.21,763,LC,4,Omnivore,Forest,Sedentary,Lower_risk
Tinamus tao,Tinamus tao,1,0,0,1,0,0,2,Terrestrial,45.5,6.8,79.7,278.7,17.1,125.6,-17.32,11.55,0,L,1,50,1850,1900,2,3,0.79654557,5.78539734,GroundForaging,ExposedGround,strong,2.45444523,7.8,STRUTHIONIFORMES,Tinamidae,3810389.02,1600.1,VU,9,Omnivore,Forest,Sedentary,Higher_risk
Tinamus solitarius,Tinamus solitarius,1,0,1,1,0,0,4,Terrestrial,37.9,6,73.1,261.5,13.7,156.2,-29.81,-7.93,0,L,2,0,1200,1200,1,5,0.62381028,4.142346156,GroundForaging,ExposedGround,strong,4.304673073,91.3,STRUTHIONIFORMES,Tinamidae,1069608.94,1386.4,NT,7,Omnivore,Forest,Sedentary,Lower_risk
Tinamus osgoodi,Tinamus osgoodi,1,1,0,1,0,0,3,Terrestrial,45.6,7.9,70.6,232,17.4,69.7,-13.91,7.15,0,L,1,600,1500,2100,1,3,0.874461001,8.159437279,GroundForaging,ExposedGround,weak,1.951777127,3.9,STRUTHIONIFORMES,Tinamidae,28701.74,1285,VU,2,Omnivore,Forest,Sedentary,Higher_risk
Tinamus major,Tinamus major,1,1,1,1,0,0,4,Terrestrial,38.5,5.9,64.4,241,20.9,83.2,-18.07,18.96,0,L,1,0,1500,1500,1,4,0.805856763,5.839391169,GroundForaging,ExposedGround,weak,2.479573373,11.2,STRUTHIONIFORMES,Tinamidae,7672718.39,1026.2,LC,6,Omnivore,Forest,Sedentary,Lower_risk
Tinamus guttatus,Tinamus guttatus,1,0,0,1,0,0,2,Terrestrial,33.1,5.3,57.6,195.4,26.4,75.6,-15.03,4.88,0,L,1,0,500,500,1,2,0.709420525,4.684172075,GroundForaging,ExposedGround,weak,2.133852286,4.2,STRUTHIONIFORMES,Tinamidae,3971186.8,686.2,NT,6,Omnivore,Forest,Sedentary,Lower_risk
Crypturellus cinereus,Crypturellus cinereus,0,0,0,0,0,0,0,Terrestrial,31,5.4,49.8,162.4,18.7,55.9,-16.68,7.94,0,L,1,0,900,900,5,3,0.809279655,6.164260205,GroundForaging,ExposedGround,strong,2.12149413,4.3,STRUTHIONIFORMES,Tinamidae,5924779.18,506.6,LC,2,Omnivore,Forest,Sedentary,Lower_risk
Crypturellus soui,Crypturellus soui,0,0,0,0,0,0,0,Terrestrial,24.2,3.9,36.4,127.5,25.4,47.9,-22.54,19.13,0,L,1,0,1500,1500,4,3,0.794792775,5.081209652,GroundForaging,ExposedGround,strong,2.662779125,14.9,STRUTHIONIFORMES,Tinamidae,11151222.76,216.2,LC,2,Omnivore,Forest,Sedentary,Lower_risk
Crypturellus obsoletus,Crypturellus obsoletus,1,0,0,1,0,0,2,Terrestrial,30.9,4.5,45.9,160,22.4,54.2,-33.84,11.35,0,L,2,200,2600,2800,2,2,0.76671403,4.812828802,GroundForaging,ExposedGround,strong,3.769365977,62,STRUTHIONIFORMES,Tinamidae,1841826.27,443.4,LC,4,Omnivore,Forest,Sedentary,Lower_risk
Crypturellus undulatus,Crypturellus undulatus,0,0,0,0,0,0,0,Terrestrial,34,5.8,48,172.5,20.3,56.6,-27.8,8.4,0,L,2,0,900,900,5,3,0.735025566,4.771455533,GroundForaging,ExposedGround,weak,2.559404175,9,STRUTHIONIFORMES,Tinamidae,8533511.59,564.4,LC,5,Omnivore,Forest,Sedentary,Lower_risk
Crypturellus strigulosus,Crypturellus strigulosus,0,0,0,0,0,0,0,Terrestrial,32.3,5.3,46.4,160.9,18.7,47.9,-15.65,-0.54,0,L,1,0,500,500,1,3,0.781206236,5.051806531,GroundForaging,ExposedGround,strong,2.479573373,8.7,STRUTHIONIFORMES,Tinamidae,2589981.45,430.6,LC,4,Omnivore,Forest,Sedentary,Lower_risk
Crypturellus erythropus,Crypturellus erythropus,1,0,0,1,0,0,2,Terrestrial,29,4.4,47,158.2,30.1,48.4,-1.46,11.65,0,L,1,0,1700,1700,4,3,0.815757949,5.828200564,GroundForaging,ExposedGround,strong,3.122034959,34.1,STRUTHIONIFORMES,Tinamidae,1242529.51,485,LC,3,Omnivore,Shrub,Sedentary,Lower_risk
Crypturellus noctivagus,Crypturellus noctivagus,1,0,0,1,0,0,2,Terrestrial,32.9,5.3,53.9,182.2,24.1,61.8,-30.22,-7.13,0,L,2,0,300,300,4,3,0.758551243,4.925242284,GroundForaging,ExposedGround,strong,3.65837774,63.6,STRUTHIONIFORMES,Tinamidae,1469564.58,562,NT,4,Omnivore,Forest,Sedentary,Lower_risk
Crypturellus cinnamomeus,Crypturellus cinnamomeus,0,0,0,1,0,0,1,Terrestrial,26.6,4.9,45.2,156.7,22.5,49.2,9.55,24.88,0,L,1,0,1800,1800,3,3,0.809868545,5.681953406,GroundForaging,ExposedGround,strong,3.960981103,103.3,STRUTHIONIFORMES,Tinamidae,661411.76,422,LC,7,Omnivore,Forest,Sedentary,Lower_risk
Crypturellus transfasciatus,Crypturellus transfasciatus,1,0,0,1,0,0,2,Terrestrial,26.7,4.8,46.4,150.2,24,45.6,-5.74,-0.18,0,L,1,0,800,800,2,3,0.760595837,4.578910599,GroundForaging,ExposedGround,strong,3.520802622,76.1,STRUTHIONIFORMES,Tinamidae,41881.22,283,NT,7,Omnivore,Forest,Sedentary,Lower_risk
Crypturellus boucardi,Crypturellus boucardi,1,0,0,1,0,0,2,Terrestrial,28.9,4.8,50,165,25.1,49.2,9.86,18.87,0,L,1,0,1500,1500,2,3,0.765831995,4.795858713,GroundForaging,ExposedGround,weak,2.797531286,28.7,STRUTHIONIFORMES,Tinamidae,334426.96,435.6,VU,10,Omnivore,Forest,Sedentary,Higher_risk
Crypturellus variegatus,Crypturellus variegatus,0,0,0,0,0,0,0,Terrestrial,33.6,5,41.1,155.4,32.2,44.6,-20.8,8.4,0,L,1,100,1200,1300,2,3,0.824320611,6.478159022,GroundForaging,ExposedGround,strong,2.133852286,5.6,STRUTHIONIFORMES,Tinamidae,5436849.92,378,LC,1,Omnivore,Forest,Sedentary,Lower_risk
Crypturellus parvirostris,Crypturellus parvirostris,0,0,0,0,0,0,0,Terrestrial,19.3,4.2,25.7,111.1,24.7,37.3,-28.61,-0.38,0,L,2,0,900,900,6,3,0.682413307,3.871354809,GroundForaging,ExposedGround,strong,3.04648098,25.1,STRUTHIONIFORMES,Tinamidae,6659535.62,199,LC,5,Omnivore,Forest,Sedentary,Lower_risk
Crypturellus tataupa,Crypturellus tataupa,0,0,0,0,0,0,0,Terrestrial,24.9,5.3,32.5,123.3,21.1,49.4,-31.61,-2.35,0,L,2,0,1400,1400,2,3,0.729748229,4.051045551,GroundForaging,ExposedGround,strong,3.289352855,34.8,STRUTHIONIFORMES,Tinamidae,4855861.2,218.8,LC,5,Omnivore,Forest,Sedentary,Lower_risk
Rhynchotus rufescens,Rhynchotus rufescens,0,0,0,0,0,0,0,Terrestrial,41.5,8.7,56.6,208.8,20,56.6,-41.17,-3.43,0,L,2,0,1000,1000,3,5,0.837782645,6.777827378,GroundForaging,ExposedGround,none,3.269778618,32.8,STRUTHIONIFORMES,Tinamidae,5674200.18,843.5,LC,9,Omnivore,Grassland,Sedentary,Lower_risk
Rhynchotus maculicollis,Rhynchotus maculicollis,0,0,0,0,0,0,0,Terrestrial,46.3,9,55.9,212,24.4,77.2,-26.89,-15.16,0,L,3,1000,2050,3050,1,5,0.830349837,6.350887059,GroundForaging,ExposedGround,weak,2.866569911,25.9,STRUTHIONIFORMES,Tinamidae,113175.08,843.5,LC,8,Omnivore,Shrub,Sedentary,Lower_risk
Nothoprocta ornata,Nothoprocta ornata,0,0,0,0,0,0,0,Terrestrial,30.9,7.1,38.3,185.6,26.1,66,-30.01,-7.67,0,L,2,3000,1600,4600,4,4,0.671866561,4.336345128,GroundForaging,ExposedGround,strong,2.504128119,18.5,STRUTHIONIFORMES,Tinamidae,765344.43,619.3,LC,9,Omnivore,Grassland,Sedentary,Lower_risk
Nothoprocta perdicaria,Nothoprocta perdicaria,0,0,0,0,0,0,0,Terrestrial,26,5.5,34.7,161.5,26.9,50.7,-41.77,-28.41,0,L,3,0,2400,2400,3,3,0.697362409,4.148444563,GroundForaging,ExposedGround,strong,3.516384847,55.2,STRUTHIONIFORMES,Tinamidae,118590.62,458,LC,12,Omnivore,Grassland,Sedentary,Lower_risk
Nothoprocta cinerascens,Nothoprocta cinerascens,0,0,0,0,0,0,0,Terrestrial,32.8,7.4,38.8,180.8,27.5,61.6,-41.17,-18.88,0,L,3,0,915,915,5,3,0.571763237,2.782564541,GroundForaging,ExposedGround,strong,2.676875289,7.8,STRUTHIONIFORMES,Tinamidae,1208917.27,523.9,LC,11,Omnivore,Shrub,Sedentary,Lower_risk
Nothoprocta pentlandii,Nothoprocta pentlandii,0,0,0,0,0,0,0,Terrestrial,27.9,5.9,37,148.2,22.6,53.4,-36.9,-2.83,0,L,2,200,4100,4300,4,4,0.626137238,3.165695945,GroundForaging,ExposedGround,weak,2.619533602,16.9,STRUTHIONIFORMES,Tinamidae,612683.69,300.7,LC,8,Omnivore,Shrub,Sedentary,Lower_risk
Nothoprocta curvirostris,Nothoprocta curvirostris,0,0,0,0,0,0,0,Terrestrial,29.4,5.9,34.6,160.2,30.6,55.2,-10.31,0.6,0,L,1,2800,1100,3900,3,4,0.812473102,5.414383638,GroundForaging,ExposedGround,weak,4.043505718,97.9,STRUTHIONIFORMES,Tinamidae,52527.78,376,LC,4,Omnivore,Grassland,Sedentary,Lower_risk
Nothura boraquira,Nothura boraquira,0,0,0,0,0,0,0,Terrestrial,21.5,4.7,31.1,133.2,27.2,47.2,-22.72,-3.2,0,L,1,0,500,500,4,4,0.760595837,3.519869514,GroundForaging,ExposedGround,weak,2.738518475,17.3,STRUTHIONIFORMES,Tinamidae,1348296.47,283,LC,6,Omnivore,Shrub,Sedentary,Lower_risk
Nothura minor,Nothura minor,1,0,0,0,1,1,6,Terrestrial,19.4,4.1,27,110,25.6,47,-23.93,-15.71,0,L,1,200,800,1000,3,4,0.760544201,3.084137081,GroundForaging,ExposedGround,strong,5.174438772,356.2,STRUTHIONIFORMES,Tinamidae,480730.25,165.8,VU,4,Omnivore,Grassland,Sedentary,Higher_risk
Nothura darwinii,Nothura darwinii,0,0,0,0,0,0,0,Terrestrial,20.4,4.6,28.9,126.4,34.4,62.4,-44.49,-9.4,0,L,2,1000,3300,4300,4,4,0.717746446,3.196424474,GroundForaging,ExposedGround,weak,2.765049466,15.4,STRUTHIONIFORMES,Tinamidae,1098896.66,244.6,LC,9,Omnivore,Grassland,Sedentary,Lower_risk
